area,perimeter,inertia11,inertia12,inertia21,inertia22,x,y,density_around,area_around,N,NW,img
23.0,16.86396103067893,2.2873345935727794,-0.2627599243856333,-0.2627599243856333,1.9659735349716443,276.1304347826087,15.652173913043478,19.0,0.0708,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,315.5,13.5,16.0,0.0464,150.0,33.0,0.0
7.0,7.414213562373095,0.4081632653061224,-0.32653061224489793,-0.32653061224489793,1.0612244897959184,352.85714285714283,14.285714285714286,17.0,0.0432,150.0,33.0,0.0
18.0,14.242640687119286,1.4444444444444444,-0.6666666666666666,-0.6666666666666666,1.9876543209876543,530.0,15.11111111111111,18.0,0.0496,150.0,33.0,0.0
7.0,6.82842712474619,0.4897959183673469,-0.0,-0.0,0.5714285714285714,615.7142857142857,14.0,18.0,0.0528,150.0,33.0,0.0
3.0,1.0,0.0,-0.0,-0.0,0.6666666666666666,640.0,14.0,22.0,0.0624,150.0,33.0,0.0
15.0,12.242640687119284,1.5288888888888887,-0.6400000000000001,-0.6400000000000001,1.1733333333333333,117.06666666666666,15.4,14.0,0.038,150.0,33.0,0.0
7.0,6.82842712474619,0.5714285714285714,-0.2857142857142857,-0.2857142857142857,0.5714285714285714,229.0,15.0,14.0,0.0264,150.0,33.0,0.0
5.0,5.207106781186548,0.56,0.12,0.12,0.24000000000000005,242.8,14.4,22.0,0.0708,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,358.3333333333333,14.333333333333334,17.0,0.0432,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,478.6666666666667,14.666666666666666,10.0,0.0236,150.0,33.0,0.0
14.0,11.621320343559642,1.5153061224489797,-0.04081632653061225,-0.04081632653061225,1.0612244897959184,4.357142857142857,16.285714285714285,17.0,0.0548,150.0,33.0,0.0
4.0,4.414213562373095,0.5,-0.25,-0.25,0.25,60.0,15.5,14.0,0.0584,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,68.5,15.0,20.0,0.0364,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,82.5,15.0,15.0,0.0392,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,182.0,15.0,10.0,0.0184,150.0,33.0,0.0
4.0,4.621320343559642,0.1875,-0.0,-0.0,0.5,306.75,16.0,14.0,0.0548,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,427.5,15.5,12.0,0.0484,150.0,33.0,0.0
9.0,8.242640687119284,0.8888888888888888,0.14814814814814814,0.14814814814814814,0.54320987654321,441.6666666666667,15.88888888888889,10.0,0.0348,150.0,33.0,0.0
6.0,6.0,0.6666666666666666,-0.0,-0.0,0.25,165.0,16.5,13.0,0.0356,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,193.33333333333334,17.666666666666668,11.0,0.0288,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,340.0,17.0,17.0,0.0496,150.0,33.0,0.0
17.0,14.449747468305834,2.477508650519031,-0.7439446366782007,-0.7439446366782007,1.0034602076124566,613.4117647058823,18.764705882352942,18.0,0.0456,150.0,33.0,0.0
9.0,9.414213562373096,0.4444444444444444,-0.5185185185185186,-0.5185185185185186,1.7283950617283952,126.33333333333333,19.77777777777778,11.0,0.036,150.0,33.0,0.0
11.0,8.414213562373096,0.9917355371900828,0.3719008264462809,0.3719008264462809,0.9917355371900828,229.9090909090909,19.90909090909091,14.0,0.0292,150.0,33.0,0.0
18.0,15.449747468305834,1.5339506172839508,-0.5308641975308643,-0.5308641975308643,1.8765432098765433,240.27777777777777,20.88888888888889,22.0,0.07,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,288.3333333333333,18.333333333333332,19.0,0.0724,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,331.0,18.5,14.0,0.0512,150.0,33.0,0.0
20.0,17.656854249492383,2.1875,-0.4625,-0.4625,1.7875,404.25,19.75,12.0,0.0468,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,445.0,18.0,9.0,0.024,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,500.5,18.0,17.0,0.0296,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,572.0,18.5,17.0,0.0576,150.0,33.0,0.0
10.0,8.82842712474619,0.6,-0.3,-0.3,1.05,266.0,20.5,23.0,0.0796,150.0,33.0,0.0
11.0,11.414213562373096,2.5619834710743805,-0.43801652892561976,-0.43801652892561976,0.3801652892561984,585.2727272727273,19.727272727272727,18.0,0.058,150.0,33.0,0.0
4.0,4.414213562373095,0.25,0.25,0.25,0.5,12.5,21.0,15.0,0.064,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,246.0,20.0,23.0,0.0812,150.0,33.0,0.0
9.0,8.242640687119284,0.8888888888888888,0.14814814814814814,0.14814814814814814,0.54320987654321,271.6666666666667,20.88888888888889,22.0,0.0648,150.0,33.0,0.0
13.0,11.0,1.8698224852071006,-0.7988165680473374,-0.7988165680473374,1.0177514792899407,379.7692307692308,21.46153846153846,16.0,0.0572,150.0,33.0,0.0
2.0,0.0,0.25,0.25,0.25,0.25,46.5,21.5,19.0,0.0584,150.0,33.0,0.0
14.0,11.65685424949238,0.8214285714285714,-0.21428571428571427,-0.21428571428571427,1.5714285714285714,305.5,23.0,18.0,0.052,150.0,33.0,0.0
12.0,11.242640687119284,1.0763888888888888,-0.4930555555555556,-0.4930555555555556,1.076388888888889,315.5833333333333,22.583333333333332,15.0,0.0492,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,501.3333333333333,21.333333333333332,14.0,0.05,150.0,33.0,0.0
